Book
"Absalom, Absalom! by William Faulkner"
The Adventures of Huckleberry Finn by Mark Twain
The Aeneid by Virgil
Anna Karenina by Leo Tolstoy
The Arabian Nights by Anonymous
Beloved by Toni Morrison
Berlin Alexanderplatz by Alfred Döblin
Blindness (Harvest Book) by José Saramago — not in English Common Knowledge
The Book of Disquiet by Fernando Pessoa
The Book of Job by Louis De Bernières
The Brothers Karamazov by Fyodor Dostoyevsky
Buddenbrooks by Thomas Mann
The Bustan by Sadi
The Canterbury Tales by Geoffrey Chaucer
Canti by Giacomo Leopardi
The Castle by Franz Kafka
The Complete Essays by Michel de Montaigne
The Complete Hans Christian Andersen Fairy Tales by Hans Christian Andersen
The Complete Stories by Franz Kafka
Complete Stories and Poems of Edgar Allan Poe by Edgar Allan Poe
Crime and Punishment by Fyodor Dostoyevsky
Dead Souls by Nikolai Gogol
The Death of Ivan Ilych & Hadyi Murad by Leo Tolstoy
The Death of Ivan Ilyich by Leo Tolstoy
The Decameron by Giovanni Boccaccio
"The Decameron, Volume I by Giovanni Boccaccio"
Demons by Fyodor Dostoyevsky
The Devil to Pay in the Backlands by João Guimarães Rosa
Diary of a Madman and Other Stories by Lu Xun
The Divine Comedy by Dante Alighieri
A Doll's House by Henrik Ibsen
The Epic of Gilgamesh by Anonymous
Faust I & II by Johann Wolfgang von Goethe
Fictions by Jorge Luis Borges
Fountain and Tomb by Naguib Mahfouz
Gargantua and Pantagruel by François Rabelais
The Golden Notebook by Doris Lessing
Great Expectations by Charles Dickens
Gulliver's Travels by Jonathan Swift
Gypsy Ballads by Federico García Lorca
Hamlet by William Shakespeare
History by Elsa Morante
Hunger by Knut Hamsun
The Idiot by Fyodor Dostoyevsky
The Iliad by Homer — not in English Common Knowledge
In Search of Lost Time by Marcel Proust
Independent People by Halldór Laxness
Invisible Man by Ralph Ellison
Jacques the Fatalist by Denis Diderot
Journey to the End of the Night by Louis-Ferdinand Céline
King Lear by William Shakespeare
Leaves of Grass by Walt Whitman
"The Life and Opinions of Tristram Shandy, Gentleman by Laurence Sterne"
Lolita by Vladimir Nabokov
Love in the Time of Cholera by Gabriel Garcia Marquez
Madame Bovary by Gustave Flaubert
The Magic Mountain by Thomas Mann
Mahābhārata (C. Rajagopalachari ed.) by C. Rajagopalachari
The Man Without Qualities by Robert Musil
The Masnavi by Maulana Jalalu-'D-Din Muhammad I Rumi
Medea [in Translation] by Euripides
Metamorphoses [in translation] by Ovid
Middlemarch by George Eliot
Midnight's Children by Salman Rushdie
Moby Dick by Herman Melville
Mrs. Dalloway by Virginia Woolf
Nineteen Eighty-Four by George Orwell
Njal's Saga by Anonymous
Nostromo by Joseph Conrad
The Odyssey by Homer — not in English Common Knowledge
Oedipus Rex by Sophocles
Old Goriot by Honoré de Balzac
The Old Man and the Sea by Ernest Hemingway
One Hundred Years of Solitude by Gabriel Garcia Marquez
Othello by William Shakespeare
Pedro Páramo by Juan Rulfo
Pippi Longstocking by Astrid Lindgren
Poe: Poetry and Tales by Edgar Allan Poe
Poems of Paul Celan by Paul Celan
Pride and Prejudice by Jane Austen
The Ramayana: A Shortened Modern Prose Version of the Indian Epic by R. K. Narayan
The Recognition of Sakuntala: A Play in Seven Acts by Kalidasa
The Red and the Black by Stendhal
Season of Migration to the North by Tayeb Salih
Selected Stories of Anton Chekov by Anton Chekhov
Sentimental Education by Gustave Flaubert
Sons and Lovers by D. H. Lawrence
The Sound and the Fury by William Faulkner
The Sound of the Mountain by Yasunari Kawabata
The Stranger by Albert Camus
The Tale of Genji by Shikibu Murasaki
Things Fall Apart by Chinua Achebe
"Three Novels: Molloy, Malone Dies, The Unnamable by Samuel Beckett"
The Tin Drum by Günter Grass
To the Lighthouse by Virginia Woolf
The Trial by Franz Kafka
Ulysses by James Joyce
War and Peace by Leo Tolstoy
Wuthering Heights by Emily Brontë
Zeno's Conscience by Italo Svevo
Zorba the Greek by Nikos Kazantzakis
